x	y
8,3297931668	17,9966517453
8,3308984022	17,9967142321
8,3320036377	17,9967767189
8,3331088731	17,9968392057
8,3342141086	17,9969016925
8,335456815	13,7408625874
8,3365620504	13,7409250742
8,3376672859	13,740987561
8,3387725213	13,7410500478
8,3398777568	13,7411125346
8,3410517277	11,6131242254
8,3421569632	11,6131867122
8,3432621986	11,613249199
8,3443674341	11,6133116859
8,3455195346	10,1624304481
8,3466247701	10,1624929349
8,3477300055	10,1625554218
8,348835241	10,1626179086
8,3499404764	10,1626803954
8,3510519606	9,9692837189
8,352157196	9,9693462057
8,3532624315	9,9694086925
8,3543676669	9,9694711793
8,3554900862	9,4375209672
8,3565953217	9,437583454
8,3577005571	9,4376459408
8,3588057926	9,4377084276
8,359911028	9,4377709144
8,3610287608	9,0509150747
8,3621339963	9,0509775615
8,3632392317	9,0510400483
8,3643444672	9,0511025351
8,3654622	8,6642466954
8,3665674354	8,6643091822
8,3676726709	8,664371669
8,3687779063	8,6644341558
8,3698831418	8,6644966426
8,3709961881	8,4227351753
8,3721014235	8,4227976621
8,373206659	8,4228601489
8,3743118944	8,4229226358
8,3754171299	8,4229851226
8,3765692304	6,9721038848
8,3776744659	6,9721663716
8,3787797013	6,9722288585
8,3798849368	6,9722913453
8,3810229778	5,9566932249
8,3821282133	5,9567557117
8,3832334487	5,9568181985
8,3843386842	5,9568806853
8,3854439196	5,9569431721
8,3865819606	4,9413450518
8,3876871961	4,9414075386
8,3887924315	4,9414700254
8,389897667	4,9415325122
8,3910200863	4,4095823
8,3921253217	4,4096447868
8,3932305572	4,4097072736
8,3943357926	4,4097697605
8,3954410281	4,4098322473
8,3965650096	3,8295172443
8,397670245	3,8295797311
8,3987754805	3,8296422179
8,3998807159	3,8297047047
8,4009937622	3,5879432374
8,4020989977	3,5880057242
8,4032042331	3,588068211
8,4043094686	3,5881306978
8,405414704	3,5881931847
8,406533999	3,1529725541
8,4076392345	3,1530350409
8,4087444699	3,1530975277
8,4098497054	3,1531600145
8,4109549408	3,1532225013
8,4120633006	3,0565554065
8,413168536	3,0566178933
8,4142737715	3,0566803801
8,4153790069	3,0567428669
8,4164873667	2,9600757721
8,4175926022	2,9601382589
8,4186978376	2,9602007457
8,4198030731	2,9602632326
8,4209083085	2,9603257194
8,4220197927	2,7669290429
8,4231250281	2,7669915297
8,4242302636	2,7670540165
8,425335499	2,7671165033
8,4264469831	2,5737198269
8,4275522186	2,5737823137
8,428657454	2,5738448005
8,4297626895	2,5739072873
8,4308679249	2,5739697741
8,4319653495	2,815856215
8,433070585	2,8159187018
8,4341758204	2,8159811886
8,4352810559	2,8160436754
8,4363862913	2,8161061622
8,4375008998	2,5259799042
8,4386061352	2,526042391
8,4397113707	2,5261048778
8,4408166061	2,5261673646
8,4419218416	2,5262298514
8,443027077	2,5262923382
8,4441323125	2,526354825
8,4452375479	2,5264173118
8,4463396591	2,6232093803
8,4474448945	2,6232718671
8,4485501299	2,6233343539
8,4496553654	2,6233968407
8,4507606008	2,6234593275
8,451862712	2,7202513959
8,4529679474	2,7203138828
8,4540731829	2,7203763696
8,4551784183	2,7204388564
8,4562852159	2,6721365524
8,4573904514	2,6721990392
8,4584956868	2,672261526
8,4596009223	2,6723240128
8,4607061577	2,6723864996
8,4618129553	2,6240841956
8,4629181908	2,6241466824
8,4640234262	2,6242091692
8,4651286617	2,624271656
8,4662432702	2,3341453979
8,4673485056	2,3342078847
8,4684537411	2,3342703716
8,4695589765	2,3343328584
8,470664212	2,3343953452
8,4717663231	2,4311874136
8,4728715585	2,4312499004
8,473976794	2,4313123872
8,4750820294	2,431374874
8,4761872649	2,4314373609
8,4772925003	2,4314998477
8,4783977358	2,4315623345
8,4795029712	2,4316248213
8,4806082067	2,4316873081
8,4817196908	2,2382906316
8,4828249262	2,2383531184
8,4839301617	2,2384156053
8,4850353971	2,2384780921
8,4861406326	2,2385405789
8,4872474302	2,1902382749
8,4883526656	2,1903007617
8,4894579011	2,1903632485
8,4905631365	2,1904257353
8,4916621233	2,3839473854
8,4927673588	2,3840098722
8,4938725942	2,384072359
8,4949778297	2,3841348458
8,4960830651	2,3841973326
8,4971898627	2,3358950286
8,4982950982	2,3359575154
8,4994003336	2,3360200022
8,5005055691	2,336082489
