,GTR,PR1,PR2,PR3,x,y
184,0.02292,0.00643,0.00881,0.01146,1.053147996729354,0.049620000000000004
185,0.02318,0.00647,0.00885,0.01155,1.0588716271463614,0.05005
186,0.02345,0.0065,0.00889,0.01163,1.0645952575633688,0.05047
187,0.02371,0.00653,0.00893,0.01172,1.070318887980376,0.05089
188,0.02397,0.00657,0.00897,0.01181,1.0760425183973834,0.05132
189,0.02424,0.0066,0.00901,0.0119,1.0817661488143908,0.05175
190,0.02451,0.00664,0.00905,0.01199,1.0874897792313982,0.05219000000000001
191,0.02478,0.00667,0.00909,0.01208,1.0932134096484054,0.05261999999999999
192,0.02505,0.0067,0.00913,0.01217,1.0989370400654128,0.05305
193,0.02532,0.00674,0.00917,0.01225,1.1046606704824202,0.05348
194,0.02559,0.00677,0.0092,0.01234,1.1103843008994276,0.0539
195,0.02587,0.00681,0.00924,0.01243,1.116107931316435,0.05435
196,0.02614,0.00684,0.00928,0.01252,1.1218315617334422,0.054779999999999995
197,0.02642,0.00687,0.00932,0.0126,1.1275551921504496,0.055209999999999995
198,0.0267,0.00691,0.00936,0.01269,1.133278822567457,0.05566
199,0.02698,0.00694,0.00939,0.01278,1.1390024529844645,0.05609
200,0.02727,0.00697,0.00943,0.01287,1.1447260834014716,0.05653999999999999
201,0.02755,0.00701,0.00947,0.01295,1.150449713818479,0.05698
202,0.02784,0.00704,0.00951,0.01304,1.1561733442354865,0.057429999999999995
203,0.02812,0.00708,0.00954,0.01312,1.1618969746524939,0.057859999999999995
204,0.02841,0.00711,0.00958,0.01321,1.1676206050695013,0.05831000000000001
205,0.0287,0.00714,0.00962,0.0133,1.1733442354865085,0.05875999999999999
206,0.02899,0.00718,0.00965,0.01338,1.1790678659035159,0.059199999999999996
207,0.02929,0.00721,0.00969,0.01347,1.1847914963205233,0.05966
208,0.02958,0.00724,0.00972,0.01355,1.1905151267375307,0.06008999999999999
209,0.02988,0.00728,0.00976,0.01364,1.1962387571545379,0.060559999999999996
210,0.03018,0.00731,0.0098,0.01372,1.2019623875715453,0.06101
211,0.03047,0.00735,0.00983,0.01381,1.2076860179885527,0.06146
212,0.03078,0.00738,0.00987,0.01389,1.21340964840556,0.06192
213,0.03108,0.00741,0.0099,0.01397,1.2191332788225675,0.06236
214,0.03138,0.00745,0.00994,0.01406,1.2248569092395747,0.06283
215,0.03169,0.00748,0.00997,0.01414,1.230580539656582,0.06328
216,0.03199,0.00752,0.01001,0.01422,1.2363041700735895,0.06374
217,0.0323,0.00755,0.01004,0.01431,1.242027800490597,0.06420000000000001
218,0.03261,0.00758,0.01008,0.01439,1.247751430907604,0.06466
219,0.03292,0.00762,0.01011,0.01447,1.2534750613246115,0.06512
220,0.03324,0.00765,0.01014,0.01456,1.259198691741619,0.06559000000000002
221,0.03355,0.00769,0.01018,0.01464,1.2649223221586263,0.06606000000000001
222,0.03387,0.00772,0.01021,0.01472,1.2706459525756337,0.06652
223,0.03418,0.00776,0.01025,0.0148,1.276369582992641,0.06699000000000001
224,0.0345,0.00779,0.01028,0.01488,1.2820932134096483,0.06745000000000002
225,0.03482,0.00783,0.01032,0.01496,1.2878168438266557,0.06792999999999999
226,0.03514,0.00786,0.01035,0.01504,1.2935404742436631,0.06839000000000002
227,0.03547,0.0079,0.01038,0.01513,1.2992641046606703,0.06888000000000001
228,0.03579,0.00793,0.01042,0.01521,1.3049877350776777,0.06935
229,0.03612,0.00797,0.01045,0.01529,1.3107113654946851,0.06982999999999999
230,0.03645,0.008,0.01049,0.01537,1.3164349959116926,0.07031
231,0.03678,0.00804,0.01052,0.01545,1.3221586263287,0.07079
232,0.03711,0.00807,0.01055,0.01553,1.3278822567457071,0.07126
233,0.03744,0.00811,0.01059,0.0156,1.3336058871627146,0.07174
234,0.03777,0.00815,0.01062,0.01568,1.339329517579722,0.07221999999999999
235,0.03811,0.00818,0.01065,0.01576,1.3450531479967294,0.0727
236,0.03844,0.00822,0.01069,0.01584,1.3507767784137366,0.07319
237,0.03878,0.00825,0.01072,0.01592,1.356500408830744,0.07367
238,0.03912,0.00829,0.01075,0.016,1.3622240392477514,0.07416
239,0.03946,0.00833,0.01079,0.01608,1.3679476696647588,0.07465999999999999
240,0.03981,0.00836,0.01082,0.01615,1.3736713000817662,0.07514000000000001
241,0.04015,0.0084,0.01085,0.01623,1.3793949304987734,0.07562999999999999
242,0.04049,0.00844,0.01089,0.01631,1.3851185609157808,0.07613
243,0.04084,0.00848,0.01092,0.01638,1.3908421913327882,0.07662
244,0.04119,0.00851,0.01095,0.01646,1.3965658217497956,0.07711
245,0.04154,0.00855,0.01099,0.01654,1.4022894521668028,0.07762
246,0.04189,0.00859,0.01102,0.01661,1.4080130825838102,0.07811000000000001
247,0.04224,0.00863,0.01105,0.01669,1.4137367130008176,0.07861000000000001
248,0.0426,0.00866,0.01109,0.01677,1.419460343417825,0.07912
249,0.04295,0.0087,0.01112,0.01684,1.4251839738348324,0.07961000000000001
250,0.04331,0.00874,0.01116,0.01692,1.4309076042518396,0.08012999999999999
