,GTR,PR1,x,y
2156,0.80081,0.03617,15.09577394348587,0.8369800000000001
2157,0.79903,0.03612,15.10277569392348,0.8351499999999998
2158,0.79725,0.03606,15.10977744436109,0.8333099999999999
2159,0.79547,0.03601,15.1167791947987,0.83148
2160,0.7937,0.03596,15.123780945236309,0.82966
2161,0.79194,0.0359,15.130782695673918,0.8278399999999998
2162,0.79018,0.03585,15.137784446111526,0.82603
2163,0.78842,0.0358,15.144786196549136,0.8242200000000002
2164,0.78667,0.03574,15.151787946986746,0.82241
2165,0.78493,0.03569,15.158789697424355,0.8206199999999999
2166,0.78319,0.03564,15.165791447861965,0.8188300000000001
2167,0.78145,0.03559,15.172793198299575,0.8170399999999999
2168,0.77972,0.03553,15.179794948737184,0.8152499999999999
2169,0.77799,0.03548,15.186796699174794,0.81347
2170,0.77627,0.03543,15.193798449612402,0.8117
2171,0.77455,0.03538,15.200800200050011,0.8099299999999998
2172,0.77284,0.03533,15.207801950487621,0.8081699999999998
2173,0.77113,0.03527,15.21480370092523,0.8063999999999999
2174,0.76943,0.03522,15.22180545136284,0.8046499999999999
2175,0.76773,0.03517,15.22880720180045,0.8029000000000002
2176,0.76604,0.03512,15.23580895223806,0.8011600000000001
2177,0.76435,0.03507,15.242810702675667,0.79942
2178,0.76267,0.03502,15.249812453113277,0.7976900000000001
2179,0.76099,0.03497,15.256814203550887,0.7959600000000001
2180,0.75931,0.03491,15.263815953988496,0.79422
2181,0.75764,0.03486,15.270817704426106,0.7925
2182,0.75598,0.03481,15.277819454863716,0.79079
2183,0.75431,0.03476,15.284821205301325,0.7890700000000002
2184,0.75266,0.03471,15.291822955738933,0.78737
2185,0.75101,0.03466,15.298824706176543,0.78567
2186,0.74936,0.03461,15.305826456614152,0.78397
2187,0.74772,0.03456,15.312828207051762,0.7822800000000001
2188,0.74608,0.03451,15.319829957489372,0.7805899999999999
2189,0.74444,0.03446,15.326831707926981,0.7789
2190,0.74281,0.03441,15.333833458364591,0.7772199999999999
2191,0.74119,0.03436,15.3408352088022,0.77555
2192,0.73957,0.03431,15.347836959239809,0.77388
2193,0.73795,0.03426,15.354838709677418,0.7722100000000001
2194,0.73634,0.03421,15.361840460115028,0.7705500000000001
2195,0.73473,0.03416,15.368842210552637,0.7688899999999999
2196,0.73313,0.03411,15.375843960990247,0.7672399999999999
2197,0.73153,0.03406,15.382845711427857,0.7655899999999999
2198,0.72994,0.03401,15.389847461865466,0.7639499999999999
2199,0.72835,0.03397,15.396849212303074,0.7623200000000002
2200,0.72677,0.03392,15.403850962740684,0.7606900000000002
2201,0.72519,0.03387,15.410852713178294,0.7590600000000001
2202,0.72361,0.03382,15.417854463615903,0.7574299999999999
2203,0.72204,0.03377,15.424856214053513,0.7558100000000001
2204,0.72047,0.03372,15.431857964491122,0.7541900000000001
2205,0.71891,0.03367,15.438859714928732,0.7525799999999999
2206,0.71735,0.03363,15.44586146536634,0.7509800000000001
2207,0.71579,0.03358,15.45286321580395,0.7493700000000002
2208,0.71424,0.03353,15.45986496624156,0.7477699999999999
2209,0.7127,0.03348,15.466866716679169,0.74618
2210,0.71116,0.03343,15.473868467116779,0.74459
2211,0.70962,0.03339,15.480870217554388,0.7430099999999998
2212,0.70808,0.03334,15.487871967991998,0.7414200000000001
2213,0.70656,0.03329,15.494873718429607,0.73985
2214,0.70503,0.03324,15.501875468867215,0.73827
2215,0.70351,0.0332,15.508877219304825,0.7367099999999999
2216,0.70199,0.03315,15.515878969742435,0.73514
2217,0.70048,0.0331,15.522880720180044,0.73358
2218,0.69897,0.03305,15.529882470617654,0.7320199999999999
2219,0.69747,0.03301,15.536884221055264,0.73048
2220,0.69597,0.03296,15.543885971492873,0.72893
2221,0.69447,0.03291,15.550887721930481,0.7273800000000001
2222,0.69298,0.03287,15.55788947236809,0.72585
2223,0.6915,0.03282,15.5648912228057,0.72432
2224,0.69001,0.03277,15.57189297324331,0.72278
2225,0.68853,0.03273,15.57889472368092,0.72126
2226,0.68706,0.03268,15.58589647411853,0.7197399999999999
2227,0.68559,0.03264,15.592898224556139,0.71823
2228,0.68412,0.03259,15.599899974993747,0.71671
2229,0.68266,0.03254,15.606901725431356,0.7152
2230,0.6812,0.0325,15.613903475868966,0.7137
2231,0.67974,0.03245,15.620905226306576,0.7121900000000001
2232,0.67829,0.03241,15.627906976744185,0.7106999999999999
2233,0.67684,0.03236,15.634908727181795,0.7091999999999998
2234,0.6754,0.03232,15.641910477619405,0.70772
2235,0.67396,0.03227,15.648912228057014,0.7062299999999999
2236,0.67253,0.03222,15.655913978494622,0.7047499999999998
2237,0.6711,0.03218,15.662915728932232,0.70328
2238,0.66967,0.03213,15.669917479369841,0.7018
2239,0.66825,0.03209,15.676919229807451,0.7003400000000002
2240,0.66683,0.03204,15.68392098024506,0.69887
2241,0.66541,0.032,15.69092273068267,0.6974099999999999
2242,0.664,0.03195,15.69792448112028,0.69595
2243,0.66259,0.03191,15.704926231557888,0.6945000000000001
2244,0.66119,0.03187,15.711927981995498,0.69306
2245,0.65979,0.03182,15.718929732433107,0.6916100000000001
2246,0.65839,0.03178,15.725931482870717,0.6901700000000002
2247,0.657,0.03173,15.732933233308326,0.6887300000000001
2248,0.65561,0.03169,15.739934983745936,0.6872999999999999
2249,0.65423,0.03164,15.746936734183546,0.6858700000000001
2250,0.65285,0.0316,15.753938484621154,0.6844499999999999
2251,0.65147,0.03156,15.760940235058763,0.68303
2252,0.6501,0.03151,15.767941985496373,0.6816099999999999
2253,0.64873,0.03147,15.774943735933983,0.6802
2254,0.64736,0.03143,15.781945486371592,0.67879
2255,0.646,0.03138,15.788947236809202,0.6773799999999999
2256,0.64464,0.03134,15.795948987246812,0.67598
2257,0.64329,0.03129,15.802950737684421,0.67458
2258,0.64194,0.03125,15.809952488122029,0.6731899999999998
2259,0.64059,0.03121,15.816954238559639,0.6718
2260,0.63925,0.03116,15.823955988997248,0.6704099999999998
2261,0.63791,0.03112,15.830957739434858,0.66903
2262,0.63657,0.03108,15.837959489872468,0.6676500000000001
2263,0.63524,0.03104,15.844961240310077,0.66628
2264,0.63391,0.03099,15.851962990747687,0.6648999999999998
2265,0.63258,0.03095,15.858964741185295,0.6635300000000001
2266,0.63126,0.03091,15.865966491622904,0.6621699999999999
2267,0.62994,0.03087,15.872968242060514,0.6608100000000002
2268,0.62863,0.03082,15.879969992498124,0.6594499999999999
2269,0.62732,0.03078,15.886971742935733,0.6581
2270,0.62601,0.03074,15.893973493373343,0.65675
2271,0.62471,0.0307,15.900975243810953,0.6554099999999999
2272,0.62341,0.03065,15.90797699424856,0.6540599999999999
2273,0.62211,0.03061,15.91497874468617,0.65272
2274,0.62082,0.03057,15.92198049512378,0.6513899999999999
2275,0.61953,0.03053,15.92898224556139,0.6500599999999999
2276,0.61824,0.03049,15.935983995998999,0.64873
2277,0.61696,0.03045,15.942985746436609,0.6474099999999998
2278,0.61568,0.0304,15.949987496874218,0.64608
2279,0.61441,0.03036,15.956989247311828,0.64477
2280,0.61314,0.03032,15.963990997749436,0.6434600000000001
2281,0.61187,0.03028,15.970992748187046,0.6421500000000001
2282,0.6106,0.03024,15.977994498624655,0.64084
2283,0.60934,0.0302,15.984996249062265,0.63954
2284,0.60808,0.03016,15.991997999499874,0.6382399999999998
2285,0.60683,0.03011,15.998999749937484,0.6369400000000001
2286,0.60558,0.03007,16.006001500375092,0.6356499999999998
2287,0.60433,0.03003,16.0130032508127,0.63436
2288,0.60309,0.02999,16.02000500125031,0.6330799999999999
2289,0.60184,0.02995,16.02700675168792,0.6317900000000001
2290,0.60061,0.02991,16.03400850212553,0.6305200000000001
2291,0.59937,0.02987,16.04101025256314,0.6292400000000001
2292,0.59814,0.02983,16.04801200300075,0.6279699999999998
2293,0.59691,0.02979,16.05501375343836,0.6267
2294,0.59569,0.02975,16.06201550387597,0.62544
2295,0.59447,0.02971,16.06901725431358,0.6241800000000003
2296,0.59325,0.02967,16.07601900475119,0.6229200000000001
2297,0.59204,0.02963,16.083020755188798,0.6216700000000001
2298,0.59083,0.02959,16.090022505626404,0.6204199999999999
2299,0.58962,0.02955,16.097024256064014,0.61917
2300,0.58841,0.02951,16.104026006501623,0.6179199999999999
2301,0.58721,0.02947,16.111027756939233,0.6166799999999999
2302,0.58601,0.02943,16.118029507376843,0.6154400000000001
2303,0.58482,0.02939,16.125031257814452,0.61421
2304,0.58363,0.02935,16.132033008252062,0.6129800000000002
2305,0.58244,0.02931,16.13903475868967,0.6117499999999998
2306,0.58126,0.02927,16.14603650912728,0.6105299999999999
2307,0.58007,0.02923,16.15303825956489,0.6093
2308,0.5789,0.02919,16.1600400100025,0.6080899999999999
2309,0.57772,0.02916,16.16704176044011,0.6068800000000001
2310,0.57655,0.02912,16.17404351087772,0.6056700000000002
2311,0.57538,0.02908,16.18104526131533,0.6044600000000001
2312,0.57421,0.02904,16.18804701175294,0.6032500000000001
2313,0.57305,0.029,16.195048762190545,0.60205
2314,0.57189,0.02896,16.202050512628155,0.6008499999999999
2315,0.57073,0.02892,16.209052263065765,0.5996499999999998
2316,0.56958,0.02888,16.216054013503374,0.59846
2317,0.56843,0.02885,16.223055763940984,0.5972799999999998
2318,0.56728,0.02881,16.230057514378593,0.5960899999999999
2319,0.56614,0.02877,16.237059264816203,0.59491
2320,0.565,0.02873,16.244061015253813,0.5937299999999999
2321,0.56386,0.02869,16.251062765691422,0.59255
2322,0.56273,0.02865,16.258064516129032,0.59138
2323,0.56159,0.02862,16.26506626656664,0.59021
2324,0.56046,0.02858,16.27206801700425,0.58904
2325,0.55934,0.02854,16.27906976744186,0.5878800000000001
2326,0.55822,0.0285,16.28607151787947,0.5867200000000001
2327,0.5571,0.02847,16.293073268317077,0.5855700000000001
2328,0.55598,0.02843,16.300075018754686,0.5844100000000001
2329,0.55487,0.02839,16.307076769192296,0.58326
2330,0.55376,0.02835,16.314078519629906,0.5821100000000001
2331,0.55265,0.02832,16.321080270067515,0.58097
2332,0.55154,0.02828,16.328082020505125,0.57982
2333,0.55044,0.02824,16.335083770942735,0.5786800000000001
2334,0.54934,0.0282,16.342085521380344,0.57754
2335,0.54825,0.02817,16.349087271817954,0.57642
2336,0.54715,0.02813,16.356089022255563,0.5752800000000001
2337,0.54606,0.02809,16.363090772693173,0.57415
2338,0.54498,0.02806,16.370092523130783,0.5730399999999999
2339,0.54389,0.02802,16.377094273568392,0.5719099999999999
2340,0.54281,0.02798,16.384096024006002,0.5707899999999999
2341,0.54173,0.02794,16.39109777444361,0.5696700000000002
2342,0.54066,0.02791,16.398099524881218,0.5685700000000001
2343,0.53958,0.02787,16.405101275318827,0.5674499999999998
2344,0.53851,0.02784,16.412103025756437,0.5663500000000001
2345,0.53745,0.0278,16.419104776194047,0.5652499999999999
2346,0.53638,0.02776,16.426106526631656,0.5641399999999999
2347,0.53532,0.02773,16.433108277069266,0.56305
2348,0.53426,0.02769,16.440110027506876,0.56195
2349,0.53321,0.02765,16.447111777944485,0.5608600000000001
2350,0.53216,0.02762,16.454113528382095,0.55978
2351,0.53111,0.02758,16.461115278819705,0.55869
2352,0.53006,0.02755,16.468117029257314,0.5576100000000002
2353,0.52901,0.02751,16.475118779694924,0.5565199999999999
2354,0.52797,0.02747,16.482120530132534,0.5554399999999999
2355,0.52693,0.02744,16.489122280570143,0.5543699999999998
2356,0.5259,0.0274,16.496124031007753,0.5533000000000001
2357,0.52486,0.02737,16.50312578144536,0.55223
2358,0.52383,0.02733,16.51012753188297,0.5511600000000001
2359,0.52281,0.0273,16.517129282320578,0.5501100000000001
2360,0.52178,0.02726,16.524131032758188,0.54904
2361,0.52076,0.02723,16.531132783195797,0.54799
2362,0.51974,0.02719,16.538134533633407,0.5469299999999999
2363,0.51872,0.02716,16.545136284071017,0.5458799999999999
2364,0.51771,0.02712,16.552138034508626,0.5448299999999998
2365,0.5167,0.02709,16.559139784946236,0.54379
2366,0.51569,0.02705,16.566141535383846,0.5427399999999999
