E	S		S		S		S		S					
MeV	1/MeV		1/MeV		1/MeV		1/MeV		1/MeV					
		GT BW	S-GT BW	GT G	S-GT G	PR1 BW	S-PR1  BW	PR1 G	S-PR1  G	QG	QBW	QT	QE	QG
1.9	0.06	0.0549783292462037	0.00502167075379634	8.57204977488265E-5	0.0599142795022512	0.0122019680721306	-0.0071802973183343	7.18640066300466E-5	0.0598424154956211	0.124824452770438	0.0498292628735807	0.100804933812648	0.051	0.124824452770438
2	0.11	0.0609024321738405	0.0490975678261595	1.00662612324498E-4	0.109899337387676	0.0127165764855306	0.0363809913406289	9.63639313818717E-5	0.109802973456294	0.137534951780665	0.0570163737656533	0.110307392043593	0.058425	0.137534951780665
2.1	0.095	0.0670898444404298	0.0279101555595702	1.18063122621597E-4	0.0948819368773784	0.0132192758110405	0.0146908797485297	1.28623408864402E-4	0.094753313468514	0.154166871415286	0.0668907707611615	0.121007295581189	0.06975	0.154166871415286
2.2	0.07	0.0735302931432648	-0.00353029314326479	1.3830022631516E-4	0.0698616997736849	0.0137175660675334	-0.0172478592107982	1.70894444101099E-4	0.0696908053295838	0.170349381084158	0.0771518742144369	0.129773904264208	0.078	0.170349381084158
2.3	0.105	0.0802129976168455	0.0247870023831545	1.61805795270672E-4	0.104838194204729	0.0142182247485737	0.0105687776345808	2.2601553694388E-4	0.104612178667785	0.187552996809435	0.0890856193214322	0.138961244256906	0.08675	0.187552996809435
2.4	0.175	0.0871267587259292	0.0878732412740708	1.89072257745954E-4	0.174810927742254	0.0147272340164081	0.0731460072576627	2.97543911937408E-4	0.174513383830317	0.205779966027466	0.103615537664306	0.148907687130655	0.10075	0.205779966027466
2.5	0.23	0.0942600499673602	0.13573995003264	2.2066024926784E-4	0.229779339750732	0.0152498025932571	0.120490147439383	3.89911698089243E-4	0.229389428052643	0.223055619166833	0.120494227844315	0.158710487937862	0.1187275	0.223055619166833
2.6	0.27	0.101601109564639	0.168398890435361	2.57207101316524E-4	0.269742792898683	0.0157904511540821	0.152608439281279	5.08608816516962E-4	0.269234184082166	0.245278914684536	0.148122518268714	0.17223206451004	0.146	0.245278914684536
2.7	0.215	0.109138032749803	0.105861967250197	2.99436240798068E-4	0.214700563759202	0.0163531338386715	0.0895088334115252	6.60395227529395E-4	0.214040168531673	0.266520748657319	0.174677954108476	0.186875266701639	0.17025	0.266520748657319
2.8	0.18	0.116858863447119	0.0631411365528815	3.48167577000619E-4	0.179651832422999	0.0169413743045968	0.0461997622482847	8.53544937200681E-4	0.178798287485799	0.288725512190456	0.197250131202162	0.203955824909494	0.19	0.288725512190456
2.9	0.215	0.124751684601848	0.0902483153981519	4.04328956245319E-4	0.214595671043755	0.0175584010962871	0.0726899143018648	0.00109812373349095	0.213497547310264	0.311860436727492	0.218337477223713	0.220729159276105	0.20975	0.311860436727492
3	0.28	0.132804706434317	0.147195293565683	4.68968767683618E-4	0.279531031232316	0.0182072729880596	0.128988020577624	0.00140630197905129	0.278124729253265	0.333444639961622	0.23947491987796	0.235168010951011	0.2317325	0.333444639961622
3.1	0.36	0.141006351943945	0.218993648056055	5.4326978657422E-4	0.359456730213426	0.0188909897837119	0.200102658272343	0.00179270289831305	0.357664027315113	0.360756439328981	0.275068961373194	0.252996810120849	0.2665	0.360756439328981
3.2	0.235	0.14934533903905	0.0856546609609504	6.28564343802192E-4	0.234371435656198	0.0196125876049328	0.0660420733560176	0.0022747856294265	0.232096650026771	0.38642013275973	0.30837081733665	0.269886701209777	0.29625	0.38642013275973
3.3	0.2	0.157810758725129	0.0421892412748708	7.26350912277356E-4	0.199273649087723	0.0203752200231959	0.0218140212516749	0.00287326084164433	0.196400388246078	0.412820518536281	0.333150690939808	0.287667549805477	0.318	0.412820518536281
3.4	0.195	0.166392148846124	0.028607851153876	8.38312202057722E-4	0.194161687797942	0.0211822276885331	0.00742562346534289	0.00361253492885373	0.190549152869089	0.43989688456943	0.355005177586212	0.306485339177657	0.33775	0.43989688456943
