E [MeV],S(E) [a.u.],,76Ge,,74Ge,,Sum,
0.106988594035476,2.446322022651,,0.849666518625497,,8.12701340723906E-4,,0.850479219966221,
0.111304034518893,2.446325195769,,0.335492225235549,,8.36933924941624E-4,,0.33632915916049,
0.115414280038148,2.04804494344762,,0.188635826469726,,8.59901734276248E-4,,0.189495728204002,
0.119602795801464,1.80168723485054,,0.123622514650069,,8.83227788018773E-4,,0.124505742438088,
0.123793426976783,1.55943554094871,,0.0899827013742617,,9.06521027387101E-4,,0.0908892224016488,
0.127960788620083,1.27201768539912,,0.0705482762195572,,9.29676178847019E-4,,0.0714779523984043,
0.132115457791373,0.959963741678015,,0.0583661736218336,,9.52786497453582E-4,,0.0593189601192872,
0.136282819434673,0.672545886128421,,0.050260447927238,,9.76025993110727E-4,,0.0512364739203487,
0.140515758850024,0.512414486131619,,0.0446084167403758,,9.99722734050045E-4,,0.0456081394744258,
0.144831199333442,0.512417659249622,,0.0405759911816148,,0.00102400645444488,,0.0415999976360597,
0.149051446276783,0.327650171081313,,0.0377786210965077,,0.00104790307531176,,0.0388265241718195,
0.153322463108166,0.241427035599036,,0.0357679664362004,,0.00107226006755756,,0.0368402265037579,
0.157591364527546,0.151097885421509,,0.0343745504001694,,0.00109679884432721,,0.0354713492444966,
0.161875073830938,0.0895108381107406,,0.0334639992733624,,0.00112163462021983,,0.0345856338935823,
0.166190514314355,0.0895140112287427,,0.0329616440099791,,0.0011468833091177,,0.0341085273190968,
0.170505954797772,0.0895171843467448,,0.0328384565567341,,0.00117237347281084,,0.0340108300295449,
0.174815049045185,0.0772023133789936,,0.03309529899555,,0.00119807633953118,,0.0342933753350811,
0.179119912468593,0.0566754130207396,,0.0337766217502479,,0.00122401072261613,,0.0350006324728641,
0.183429006716006,0.0443605420529885,,0.0349919414717363,,0.00125023293807947,,0.0362421744098157,
0.187744447199423,0.0443637151709906,,0.0369570329527558,,0.00127676069965251,,0.0382337936524083,
0.192051426034833,0.027942829507988,,0.0400763432462159,,0.00130350544736999,,0.0413798486935859,
0.196366866518251,0.0279460026259901,,0.0452032054473143,,0.00133057397558547,,0.0465337794228998,
0.200680191589666,0.0238431610487408,,0.0542223189358841,,0.00135790149401881,,0.0555802204299029,
0.204995632073083,0.0238463341667439,,0.0721222194053748,,0.00138551519080808,,0.0735077345961829,
0.209306841732497,0.0156374778942432,,0.115592463675175,,0.00141337421429325,,0.117005837889468,
0.213622282215914,0.0156406510122462,,0.272970090222358,,0.00144153289404163,,0.274411623116399,
0.217937722699332,0.0156438241302483,,2.05924210819845,,0.00146996346166847,,2.06071207166012,
0.222257394006752,0.0238590266387542,,1.76684802462835,,0.00149869348675178,,1.7683467181151,
0.226583411550178,0.0443922732330133,,0.258711364441355,,0.00152773724611745,,0.260239101687472,
0.2309051982696,0.0567134904367697,,0.113188836545619,,0.00155702309280178,,0.114745859638421,
0.235248139109039,0.11009485459304,,0.0720507967175251,,0.0015867237786431,,0.0736375204961682,
0.239588964536476,0.159370204054059,,0.0551853853959743,,0.00161668110169507,,0.0568020664976694,
0.243931905375915,0.212751568210329,,0.0467783514148174,,0.00164692342776976,,0.0484252748425872,
0.248310808219383,0.335935182185873,,0.0420576417935754,,0.00167768920196905,,0.0437353309955444,
0.2526262487028,0.335938355303876,,0.0392793665309097,,0.00170827655338473,,0.0409876430842945,
0.257015728606276,0.479652042755676,,0.0375266917110082,,0.00173966032912476,,0.039266352040133,
0.261371361917725,0.557669495083455,,0.0364388595683084,,0.00177107221222846,,0.0382099317805368,
0.265686802401142,0.557672668201458,,0.0357750624916318,,0.00180245894662068,,0.0375775214382525,
0.270002242884559,0.55767584131946,,0.0353923575712534,,0.0018341085885144,,0.0372264661597678,
0.274245759359919,0.418074514798916,,0.0352116707087273,,0.00186548659385393,,0.0370771573025812,
0.278506199131293,0.311321305840383,,0.0351749513058012,,0.00189724449903836,,0.0370721958048396,
0.282764523490665,0.200462082186599,,0.0352493737027429,,0.0019292413011414,,0.0371786150038843,
