Neutrino energy,discrete levels,only GTR,total
2.02,2.185308786840164,3.3232849239244976e-05,2.1853420196894033
2.0300000000000002,2.2216816153432637,3.486330796302388e-05,2.221716478651227
2.04,2.268404783558065,3.6618355659314615e-05,2.2684414019137242
2.05,2.310865650873362,3.837340335560535e-05,2.310904024276718
2.06,2.3498240352081274,4.012845105189617e-05,2.3498641636591793
2.07,2.387536291785993,4.188349874818691e-05,2.3875781752847414
2.08,2.4276079834072335,4.3638546444477725e-05,2.427651621953678
2.09,2.473674944022663,4.539359414076846e-05,2.473720337616804
2.1,2.552700167959376,4.714864183705927e-05,2.552747316601213
2.11,2.612544692236305,4.890368953335001e-05,2.6125935959258384
2.12,2.654323349061,5.065873722964082e-05,2.6543740077982294
2.13,2.6984292414880153,5.283809917846735e-05,2.698482079587194
2.14,2.7422700902528794,5.522645172928926e-05,2.742325316704609
2.15,2.787539629326198,5.761480428011106e-05,2.787597244130478
2.16,2.8336206930881587,6.0003156830932967e-05,2.8336806962449894
2.17,2.8832720525224556,6.239150938175476e-05,2.883334444031837
2.18,2.9525289312859258,6.477986193257667e-05,2.952593711147858
2.19,3.002754091393828,6.716821448339847e-05,3.0028212596083113
2.2,3.0499947509367917,6.955656703422038e-05,3.050064307503826
2.21,3.0995034833548973,7.194491958504218e-05,3.0995754282744823
2.22,3.1482533243357267,7.433327213586409e-05,3.1483276576078625
2.23,3.1980739505157536,7.737784262760048e-05,3.198151328358381
2.24,3.247831651053083,8.074562494098152e-05,3.247912396678024
2.25,3.2979094240550184,8.411340725436241e-05,3.297993537462273
2.2600000000000002,3.3482260967196913,8.748118956774345e-05,3.348313577909259
2.27,3.3987186057462386,9.084897188112433e-05,3.3988094547181196
2.2800000000000002,3.45737221516975,9.421675419450537e-05,3.4574664319239443
2.29,3.522713711245504,9.758453650788625e-05,3.5228112957820117
2.3000000000000003,3.6232220805666824,0.00010095231882126728,3.6233230328855037
2.31,3.6800280518122497,0.00010432010113464817,3.6801323719133845
2.32,3.735319135514129,0.00010768788344802906,3.7354268233975767
2.33,3.7919209641887606,0.00011173593699405148,3.7920327001257546
2.34,3.8480703603912816,0.00011611904950540457,3.848186479440787
2.35,3.905510408289038,0.00012050216201675784,3.905630910451055
2.36,3.9627237022644293,0.00012488527452811092,3.962848587538957
2.37,4.021559567234311,0.0001292683870394642,4.02168883562135
