energy;sum_spectrum
5.43;570951.1948
5.44;571453.9479
5.45;571946.7834
5.46;572439.6189
5.47;572921.4098
5.48;573403.6134
5.49;573874.3597
5.5;574345.106
5.51;574802.7791
5.52;575260.4522
5.53;575714.557
5.54;576168.6618
5.55;576612.1347
5.56;577055.6076
5.57;577488.4867
5.58;577921.3658
5.59;578342.5622
5.6;578763.7586
5.61;579173.1961
5.62;579582.6336
5.63;579987.7885
5.64;580392.9434
5.65;580787.9172
5.66;581182.4783
5.67;581565.9948
5.68;581949.0986
5.69;582320.4816
5.7;582692.2773
5.71;583053.0284
5.72;583413.7795
5.73;583770.0226
5.74;584125.853
5.75;584470.4134
5.76;584815.3865
5.77;585149.5404
5.78;585483.2816
5.79;585805.0766
5.8;586128.5224
5.81;586440.1744
5.82;586751.8264
5.83;587058.4815
5.84;587365.1366
5.85;587660.7852
5.86;587956.4338
5.87;588240.9997
5.88;588525.5656
5.89;588797.7726
5.9;589069.9796
5.91;589333.8087
5.92;589597.6378
5.93;589854.2922
5.94;590110.9466
5.95;590358.8834
5.96;590605.1694
5.97;590839.7346
5.98;591074.7125
5.99;591297.5188
6.0;591519.9124
6.01;591734.8678
6.02;591950.2359
6.03;592158.3912
6.04;592366.1338
6.05;592562.8318
6.06;592759.9425
6.07;592946.0086
6.08;593131.662
6.09;593304.4676
6.1;593478.0986
6.11;593645.4565
6.12;593812.8144
6.13;593970.969
6.14;594129.1236
6.15;594276.8717
6.16;594424.6198
6.17;594560.2344
6.18;594695.849
6.19;594818.3904
6.2;594940.9318
6.21;595060.2795
6.22;595179.6272
6.23;595288.6446
6.24;595397.662
6.25;595495.4094
6.26;595593.1568
6.27;595681.5104
6.28;595768.2132
6.29;595841.6174
6.3;595915.0216
6.31;595985.721
6.32;596056.8331
6.33;596116.6752
6.34;596176.1046
6.35;596225.1656
6.36;596274.2266
6.37;596311.3414
6.38;596348.8689
6.39;596374.4502
6.4;596399.6188
6.41;596421.4064
6.42;596444.0194
6.43;596454.9878
6.44;596465.9562
6.45;596466.2927
6.46;596466.6292
6.47;596455.283
6.48;596443.9368
6.49;596421.0952
6.5;596398.2536
6.51;596371.3548
6.52;596344.456
6.53;596306.738
6.54;596269.02
6.55;596220.8955
6.56;596172.771
6.57;596113.3384
6.58;596053.0804
6.59;595982.9048
6.6;595912.7292
6.61;595837.8202
6.62;595762.9112
6.63;595677.183
6.64;595591.4548
6.65;595494.9074
6.66;595398.36
6.67;595289.8664
6.68;595181.7855
6.69;595065.3648
6.7;594948.5314
6.71;594825.6122
6.72;594703.5184
6.73;594570.4562
6.74;594437.394
6.75;594293.2872
6.76;594149.1804
6.77;593992.902
6.78;593836.6236
6.79;593673.5832
6.8;593510.5428
6.81;593340.515
6.82;593170.4872
6.83;592990.091
